departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
22;5;0;4;2012;2;2
22;2;0;13;2012;2;3
22;0;1;6;2012;2;4
23;5;0;0;2012;2;1
23;9;2;9;2012;2;2
23;1;0;3;2012;2;3
23;0;0;2;2012;2;4
24;1;0;0;2012;2;1
24;3;0;2;2012;2;2
24;6;0;11;2012;2;3
24;1;1;3;2012;2;4
25;1;0;0;2012;2;1
25;8;1;3;2012;2;2
25;0;2;17;2012;2;3
25;0;1;1;2012;2;4
26;2;0;0;2012;2;1
26;6;0;0;2012;2;2
26;0;1;3;2012;2;3
26;0;1;4;2012;2;4
27;2;0;1;2012;2;1
27;5;2;1;2012;2;2
27;0;0;4;2012;2;3
27;0;1;4;2012;2;4
4;0;0;0;2013;1;1
4;4;0;3;2013;1;2
4;1;1;6;2013;1;3
4;1;1;4;2013;1;4
1;3;0;0;2013;1;1
1;4;1;3;2013;1;2
1;4;0;9;2013;1;3
1;1;0;1;2013;1;4
2;1;0;0;2013;1;1
2;4;0;1;2013;1;2
2;3;2;14;2013;1;3
2;1;1;5;2013;1;4
3;0;0;0;2013;1;1
3;5;1;3;2013;1;2
3;2;2;4;2013;1;3
3;1;2;23;2013;1;4
5;3;0;0;2013;1;1
5;7;1;8;2013;1;2
5;0;1;2;2013;1;3
5;0;0;1;2013;1;4
6;4;0;0;2013;1;1
6;6;3;3;2013;1;2
6;0;0;1;2013;1;3
6;0;2;4;2013;1;4
16;0;0;0;2013;1;1
16;5;0;2;2013;1;2
16;0;1;2;2013;1;3
16;0;0;4;2013;1;4
17;0;0;0;2013;1;1
17;1;0;2;2013;1;2
17;1;0;41;2013;1;3
17;0;1;7;2013;1;4
7;0;0;0;2013;1;1
7;5;1;3;2013;1;2
7;2;4;5;2013;1;3
7;2;1;1;2013;1;4
8;1;0;0;2013;1;1
8;2;0;3;2013;1;2
8;2;2;13;2013;1;3
8;0;0;3;2013;1;4
9;1;0;0;2013;1;1
9;2;0;2;2013;1;2
9;1;1;7;2013;1;3
9;0;0;1;2013;1;4
10;2;0;0;2013;1;1
10;3;0;6;2013;1;2
10;0;0;4;2013;1;3
10;0;2;0;2013;1;4
